file                                                                                  format  type  num_seqs      sum_len  min_len   avg_len  max_len       Q1       Q2       Q3  sum_gap      N50  N50_num  Q20(%)  Q30(%)  AvgQual  GC(%)  sum_n
week18-preprocessing/data/04_assembly_megahit/gut_adult/ERR2641635/final.contigs.fa   FASTA   DNA     23,348  170,752,088    1,500   7,313.3  615,599    1,933  2,823.5  5,942.5        0   18,151    1,936       0       0        0  44.47      0
week18-preprocessing/data/04_assembly_megahit/gut_adult/ERR2641677/final.contigs.fa   FASTA   DNA     28,758  197,762,925    1,500   6,876.8  370,725    1,947    2,880    5,772        0   14,933    2,529       0       0        0   45.9      0
week18-preprocessing/data/04_assembly_megahit/gut_adult/ERR2641733/final.contigs.fa   FASTA   DNA     36,928  202,395,284    1,500   5,480.8  391,881    1,906    2,685  4,842.5        0    8,976    3,842       0       0        0  49.35      0
week18-preprocessing/data/04_assembly_megahit/gut_infant/SRR8692206/final.contigs.fa  FASTA   DNA      3,137   49,462,935    1,500  15,767.6  832,773    2,069    3,255    9,073        0   79,573      148       0       0        0  42.54      0
week18-preprocessing/data/04_assembly_megahit/gut_infant/SRR8692207/final.contigs.fa  FASTA   DNA      3,185   61,890,850    1,500    19,432  594,509    1,869    2,966   11,844        0  102,513      162       0       0        0  49.16      0
week18-preprocessing/data/04_assembly_megahit/gut_infant/SRR8692213/final.contigs.fa  FASTA   DNA      3,272   51,190,587    1,500    15,645  544,421  1,942.5  2,921.5    7,042        0   95,171      136       0       0        0     48      0
week18-preprocessing/data/04_assembly_megahit/vaginal/SRR059458/final.contigs.fa      FASTA   DNA      6,680   44,419,335    1,501   6,649.6  302,362  2,004.5    2,974  5,361.5        0   13,003      596       0       0        0  43.45      0
week18-preprocessing/data/04_assembly_megahit/vaginal/SRR059459/final.contigs.fa      FASTA   DNA      6,666   44,374,311    1,500   6,656.8  446,525    1,998  2,876.5    5,263        0   13,340      546       0       0        0  43.46      0
week18-preprocessing/data/04_assembly_megahit/vaginal/SRR513791/final.contigs.fa      FASTA   DNA        212    3,681,257    1,509  17,364.4  154,151  3,792.5    9,057   19,636        0   32,433       27       0       0        0  35.73      0
